from_space,to_space,from_time,to_time,from_state,to_state,cost,arc_type
4,0,0,1,1,1,1,0
4,0,1,2,1,1,1,0
4,0,2,3,1,1,1,0
4,0,3,4,1,1,1,0
4,0,4,5,1,1,1,0
4,0,5,6,1,1,1,0
4,0,6,7,1,1,1,0
4,0,7,8,1,1,1,0
4,0,8,9,1,1,1,0
4,0,9,10,1,1,1,0
4,0,10,11,1,1,1,0
4,0,11,12,1,1,1,0
4,0,12,13,1,1,1,0
4,0,13,14,1,1,1,0
4,0,14,15,1,1,1,0
4,0,15,16,1,1,1,0
4,0,16,17,1,1,1,0
4,0,17,18,1,1,1,0
4,0,18,19,1,1,1,0
4,0,19,20,1,1,1,0
4,0,20,21,1,1,1,0
4,0,21,22,1,1,1,0
4,0,22,23,1,1,1,0
4,0,23,24,1,1,1,0
4,0,24,25,1,1,1,0
4,0,25,26,1,1,1,0
4,0,26,27,1,1,1,0
4,0,27,28,1,1,1,0
4,0,28,29,1,1,1,0
4,0,29,30,1,1,1,0
4,0,30,31,1,1,1,0
4,0,31,32,1,1,1,0
4,0,32,33,1,1,1,0
4,0,33,34,1,1,1,0
4,0,34,35,1,1,1,0
4,0,35,36,1,1,1,0
4,0,36,37,1,1,1,0
4,0,37,38,1,1,1,0
4,0,38,39,1,1,1,0
4,0,39,40,1,1,1,0
4,0,40,41,1,1,1,0
4,0,41,42,1,1,1,0
4,0,42,43,1,1,1,0
4,0,43,44,1,1,1,0
4,0,44,45,1,1,1,0
4,0,45,46,1,1,1,0
4,0,46,47,1,1,1,0
4,0,47,48,1,1,1,0
4,0,48,49,1,1,1,0
4,0,49,50,1,1,1,0
3,4,0,1,1,1,1,0
3,4,1,2,1,1,1,0
3,4,2,3,1,1,1,0
3,4,3,4,1,1,1,0
3,4,4,5,1,1,1,0
3,4,5,6,1,1,1,0
3,4,6,7,1,1,1,0
3,4,7,8,1,1,1,0
3,4,8,9,1,1,1,0
3,4,9,10,1,1,1,0
3,4,10,11,1,1,1,0
3,4,11,12,1,1,1,0
