start_space,delivery_space,end_space,start_time,delivery_time,end_time,sorties_cost
3,1,0,1,3,4,3
3,1,5,1,3,4,3
3,1,7,1,3,4,3
4,6,5,8,9,10,2
4,6,4,8,9,10,2
4,6,7,8,9,10,2
4,6,0,8,9,10,2
4,6,3,8,9,10,2
4,6,5,8,9,11,3
4,6,4,8,9,11,3
4,6,7,8,9,11,3
4,6,0,8,9,11,3
4,6,3,8,9,11,3
4,6,5,9,10,11,2
4,6,4,9,10,11,2
4,6,7,9,10,11,2
4,6,0,9,10,11,2
4,6,3,9,10,11,2
4,6,5,9,10,12,3
4,6,4,9,10,12,3
4,6,7,9,10,12,3
4,6,0,9,10,12,3
4,6,3,9,10,12,3
5,1,0,1,2,3,2
5,1,3,1,2,4,3
5,1,5,1,2,3,2
5,1,4,1,2,4,3
5,1,7,1,2,3,2
5,1,0,1,2,4,3
5,1,5,1,2,4,3
5,1,7,1,2,4,3
5,1,0,2,3,4,2
5,1,3,2,3,5,3
5,1,5,2,3,4,2
5,1,4,2,3,5,3
5,1,7,2,3,4,2
5,1,0,2,3,5,3
5,1,5,2,3,5,3
5,1,7,2,3,5,3
0,2,4,4,6,7,3
0,2,3,4,6,7,3
0,2,4,5,7,8,3
0,2,3,5,7,8,3
4,2,5,5,6,8,3
4,2,4,5,6,7,2
4,2,7,5,6,8,3
4,2,0,5,6,8,3
4,2,3,5,6,7,2
4,2,4,5,6,8,3
4,2,3,5,6,8,3
4,2,5,6,7,9,3
4,2,4,6,7,8,2
4,2,7,6,7,9,3
4,2,0,6,7,9,3
4,2,3,6,7,8,2
4,2,4,6,7,9,3
4,2,3,6,7,9,3
5,6,5,8,9,10,2
5,6,4,8,9,10,2
5,6,7,8,9,10,2
5,6,0,8,9,10,2
5,6,3,8,9,10,2
5,6,5,8,9,11,3
5,6,4,8,9,11,3
5,6,7,8,9,11,3
5,6,0,8,9,11,3
5,6,3,8,9,11,3
5,6,5,9,10,11,2
5,6,4,9,10,11,2
5,6,7,9,10,11,2
5,6,0,9,10,11,2
5,6,3,9,10,11,2
5,6,5,9,10,12,3
5,6,4,9,10,12,3
5,6,7,9,10,12,3
5,6,0,9,10,12,3
5,6,3,9,10,12,3
3,6,5,8,9,10,2
3,6,4,8,9,10,2
3,6,7,8,9,10,2
3,6,0,8,9,10,2
3,6,3,8,9,10,2
3,6,5,8,9,11,3
3,6,4,8,9,11,3
3,6,7,8,9,11,3
3,6,0,8,9,11,3
3,6,3,8,9,11,3
3,6,5,9,10,11,2
3,6,4,9,10,11,2
3,6,7,9,10,11,2
3,6,0,9,10,11,2
3,6,3,9,10,11,2
3,6,5,9,10,12,3
3,6,4,9,10,12,3
3,6,7,9,10,12,3
3,6,0,9,10,12,3
3,6,3,9,10,12,3
0,1,0,1,2,3,2
0,1,3,1,2,4,3
0,1,5,1,2,3,2
0,1,4,1,2,4,3
0,1,7,1,2,3,2
0,1,0,1,2,4,3
0,1,5,1,2,4,3
0,1,7,1,2,4,3
0,1,0,2,3,4,2
0,1,3,2,3,5,3
0,1,5,2,3,4,2
0,1,4,2,3,5,3
0,1,7,2,3,4,2
0,1,0,2,3,5,3
0,1,5,2,3,5,3
0,1,7,2,3,5,3
3,2,5,5,6,8,3
3,2,4,5,6,7,2
3,2,7,5,6,8,3
3,2,0,5,6,8,3
3,2,3,5,6,7,2
3,2,4,5,6,8,3
3,2,3,5,6,8,3
3,2,5,6,7,9,3
3,2,4,6,7,8,2
3,2,7,6,7,9,3
3,2,0,6,7,9,3
3,2,3,6,7,8,2
3,2,4,6,7,9,3
3,2,3,6,7,9,3
4,1,0,1,3,4,3
4,1,5,1,3,4,3
4,1,7,1,3,4,3
5,2,4,4,6,7,3
5,2,3,4,6,7,3
5,2,4,5,7,8,3
5,2,3,5,7,8,3
0,6,5,8,9,10,2
0,6,4,8,9,10,2
0,6,7,8,9,10,2
0,6,0,8,9,10,2
0,6,3,8,9,10,2
0,6,5,8,9,11,3
0,6,4,8,9,11,3
0,6,7,8,9,11,3
0,6,0,8,9,11,3
0,6,3,8,9,11,3
0,6,5,9,10,11,2
0,6,4,9,10,11,2
0,6,7,9,10,11,2
0,6,0,9,10,11,2
0,6,3,9,10,11,2
0,6,5,9,10,12,3
0,6,4,9,10,12,3
0,6,7,9,10,12,3
0,6,0,9,10,12,3
0,6,3,9,10,12,3
4,6,5,7,9,10,3
4,6,4,7,9,10,3
4,6,7,7,9,10,3
4,6,0,7,9,10,3
4,6,3,7,9,10,3
4,6,5,8,10,11,3
4,6,4,8,10,11,3
4,6,7,8,10,11,3
4,6,0,8,10,11,3
4,6,3,8,10,11,3
5,1,0,1,3,4,3
5,1,5,1,3,4,3
5,1,7,1,3,4,3
4,2,4,4,6,7,3
4,2,3,4,6,7,3
4,2,4,5,7,8,3
4,2,3,5,7,8,3
5,6,5,7,9,10,3
5,6,4,7,9,10,3
5,6,7,7,9,10,3
5,6,0,7,9,10,3
5,6,3,7,9,10,3
5,6,5,8,10,11,3
5,6,4,8,10,11,3
5,6,7,8,10,11,3
5,6,0,8,10,11,3
5,6,3,8,10,11,3
3,6,5,7,9,10,3
3,6,4,7,9,10,3
3,6,7,7,9,10,3
3,6,0,7,9,10,3
3,6,3,7,9,10,3
3,6,5,8,10,11,3
3,6,4,8,10,11,3
3,6,7,8,10,11,3
3,6,0,8,10,11,3
3,6,3,8,10,11,3
0,1,0,1,3,4,3
0,1,5,1,3,4,3
0,1,7,1,3,4,3
3,2,4,4,6,7,3
3,2,3,4,6,7,3
3,2,4,5,7,8,3
3,2,3,5,7,8,3
0,6,5,7,9,10,3
0,6,4,7,9,10,3
0,6,7,7,9,10,3
0,6,0,7,9,10,3
0,6,3,7,9,10,3
0,6,5,8,10,11,3
0,6,4,8,10,11,3
0,6,7,8,10,11,3
0,6,0,8,10,11,3
0,6,3,8,10,11,3
