from_space,to_space,from_time,to_time,from_state,to_state,cost,arc_type
12,4,0,7,0,0,7,0
12,4,1,8,0,0,7,0
12,4,2,9,0,0,7,0
12,4,3,10,0,0,7,0
12,4,4,11,0,0,7,0
12,4,5,12,0,0,7,0
12,4,6,13,0,0,7,0
12,4,7,14,0,0,7,0
12,4,8,15,0,0,7,0
12,4,9,16,0,0,7,0
12,4,10,17,0,0,7,0
12,4,11,18,0,0,7,0
12,4,12,19,0,0,7,0
12,4,13,20,0,0,7,0
12,4,14,21,0,0,7,0
12,4,15,22,0,0,7,0
12,4,16,23,0,0,7,0
12,4,17,24,0,0,7,0
12,4,18,25,0,0,7,0
12,4,19,26,0,0,7,0
12,4,20,27,0,0,7,0
12,4,21,28,0,0,7,0
12,4,22,29,0,0,7,0
12,4,23,30,0,0,7,0
12,4,24,31,0,0,7,0
12,4,25,32,0,0,7,0
12,4,26,33,0,0,7,0
12,4,27,34,0,0,7,0
12,4,28,35,0,0,7,0
12,4,29,36,0,0,7,0
12,4,30,37,0,0,7,0
12,4,31,38,0,0,7,0
12,4,32,39,0,0,7,0
12,4,33,40,0,0,7,0
12,4,34,41,0,0,7,0
12,4,35,42,0,0,7,0
12,4,36,43,0,0,7,0
12,4,37,44,0,0,7,0
12,4,38,45,0,0,7,0
12,4,39,46,0,0,7,0
12,4,40,47,0,0,7,0
12,4,41,48,0,0,7,0
12,4,42,49,0,0,7,0
12,4,43,50,0,0,7,0
4,0,0,5,0,0,5,0
4,0,1,6,0,0,5,0
4,0,2,7,0,0,5,0
4,0,3,8,0,0,5,0
4,0,4,9,0,0,5,0
4,0,5,10,0,0,5,0
4,0,6,11,0,0,5,0
4,0,7,12,0,0,5,0
4,0,8,13,0,0,5,0
4,0,9,14,0,0,5,0
4,0,10,15,0,0,5,0
4,0,11,16,0,0,5,0
4,0,12,17,0,0,5,0
4,0,13,18,0,0,5,0
4,0,14,19,0,0,5,0
4,0,15,20,0,0,5,0
4,0,16,21,0,0,5,0
4,0,17,22,0,0,5,0
4,0,18,23,0,0,5,0
4,0,19,24,0,0,5,0
4,0,20,25,0,0,5,0
4,0,21,26,0,0,5,0
4,0,22,27,0,0,5,0
4,0,23,28,0,0,5,0
4,0,24,29,0,0,5,0
4,0,25,30,0,0,5,0
4,0,26,31,0,0,5,0
4,0,27,32,0,0,5,0
4,0,28,33,0,0,5,0
4,0,29,34,0,0,5,0
4,0,30,35,0,0,5,0
4,0,31,36,0,0,5,0
4,0,32,37,0,0,5,0
4,0,33,38,0,0,5,0
4,0,34,39,0,0,5,0
4,0,35,40,0,0,5,0
4,0,36,41,0,0,5,0
4,0,37,42,0,0,5,0
4,0,38,43,0,0,5,0
4,0,39,44,0,0,5,0
4,0,40,45,0,0,5,0
