space,time,state,customer
0,0,0,0
0,0,1,0
0,1,0,0
0,1,1,0
0,2,0,0
0,2,1,0
0,3,0,0
0,3,1,0
0,4,0,0
0,4,1,0
0,5,0,0
0,5,1,0
0,6,0,0
0,6,1,0
0,7,0,0
0,7,1,0
0,8,0,0
0,8,1,0
0,9,0,0
0,9,1,0
0,10,0,0
0,10,1,0
0,11,0,0
0,11,1,0
0,12,0,0
0,12,1,0
0,13,0,0
0,13,1,0
0,14,0,0
0,14,1,0
0,15,0,0
0,15,1,0
0,16,0,0
0,16,1,0
0,17,0,0
0,17,1,0
0,18,0,0
0,18,1,0
0,19,0,0
0,19,1,0
0,20,0,0
0,20,1,0
0,21,0,0
0,21,1,0
0,22,0,0
0,22,1,0
0,23,0,0
0,23,1,0
0,24,0,0
0,24,1,0
0,25,0,0
0,25,1,0
0,26,0,0
0,26,1,0
0,27,0,0
0,27,1,0
0,28,0,0
0,28,1,0
0,29,0,0
0,29,1,0
0,30,0,0
0,30,1,0
0,31,0,0
0,31,1,0
0,32,0,0
0,32,1,0
0,33,0,0
0,33,1,0
0,34,0,0
0,34,1,0
0,35,0,0
0,35,1,0
0,36,0,0
0,36,1,0
0,37,0,0
0,37,1,0
0,38,0,0
0,38,1,0
0,39,0,0
0,39,1,0
0,40,0,0
0,40,1,0
0,41,0,0
0,41,1,0
0,42,0,0
0,42,1,0
0,43,0,0
0,43,1,0
0,44,0,0
0,44,1,0
0,45,0,0
0,45,1,0
0,46,0,0
0,46,1,0
0,47,0,0
0,47,1,0
0,48,0,0
0,48,1,0
0,49,0,0
0,49,1,0
0,50,0,0
0,50,1,0
1,0,0,1
1,0,1,1
1,1,0,1
1,1,1,1
1,2,0,1
1,2,1,1
1,3,0,1
1,3,1,1
1,4,0,1
1,4,1,1
1,5,0,1
1,5,1,1
1,6,0,1
1,6,1,1
1,7,0,1
1,7,1,1
1,8,0,1
1,8,1,1
1,9,0,1
1,9,1,1
1,10,0,1
1,10,1,1
1,11,0,1
1,11,1,1
1,12,0,1
1,12,1,1
1,13,0,1
1,13,1,1
1,14,0,1
1,14,1,1
1,15,0,1
1,15,1,1
1,16,0,1
1,16,1,1
1,17,0,1
1,17,1,1
1,18,0,1
1,18,1,1
1,19,0,1
1,19,1,1
1,20,0,1
1,20,1,1
1,21,0,1
1,21,1,1
1,22,0,1
1,22,1,1
1,23,0,1
1,23,1,1
1,24,0,1
1,24,1,1
1,25,0,1
1,25,1,1
1,26,0,1
1,26,1,1
1,27,0,1
1,27,1,1
1,28,0,1
1,28,1,1
1,29,0,1
1,29,1,1
1,30,0,1
1,30,1,1
1,31,0,1
1,31,1,1
1,32,0,1
1,32,1,1
1,33,0,1
1,33,1,1
1,34,0,1
1,34,1,1
1,35,0,1
1,35,1,1
1,36,0,1
1,36,1,1
1,37,0,1
1,37,1,1
1,38,0,1
1,38,1,1
1,39,0,1
1,39,1,1
1,40,0,1
1,40,1,1
1,41,0,1
1,41,1,1
1,42,0,1
1,42,1,1
1,43,0,1
1,43,1,1
1,44,0,1
1,44,1,1
1,45,0,1
1,45,1,1
1,46,0,1
1,46,1,1
1,47,0,1
1,47,1,1
1,48,0,1
1,48,1,1
1,49,0,1
1,49,1,1
1,50,0,1
1,50,1,1
2,0,0,1
2,0,1,1
2,1,0,1
2,1,1,1
2,2,0,1
2,2,1,1
2,3,0,1
2,3,1,1
2,4,0,1
2,4,1,1
2,5,0,1
2,5,1,1
2,6,0,1
2,6,1,1
2,7,0,1
2,7,1,1
2,8,0,1
2,8,1,1
2,9,0,1
2,9,1,1
2,10,0,1
2,10,1,1
2,11,0,1
2,11,1,1
2,12,0,1
2,12,1,1
2,13,0,1
2,13,1,1
2,14,0,1
2,14,1,1
2,15,0,1
2,15,1,1
2,16,0,1
2,16,1,1
2,17,0,1
2,17,1,1
2,18,0,1
2,18,1,1
2,19,0,1
2,19,1,1
2,20,0,1
2,20,1,1
2,21,0,1
2,21,1,1
2,22,0,1
2,22,1,1
2,23,0,1
2,23,1,1
2,24,0,1
2,24,1,1
2,25,0,1
2,25,1,1
2,26,0,1
2,26,1,1
2,27,0,1
2,27,1,1
2,28,0,1
2,28,1,1
2,29,0,1
2,29,1,1
2,30,0,1
2,30,1,1
2,31,0,1
2,31,1,1
2,32,0,1
2,32,1,1
2,33,0,1
2,33,1,1
2,34,0,1
2,34,1,1
2,35,0,1
2,35,1,1
2,36,0,1
2,36,1,1
2,37,0,1
2,37,1,1
2,38,0,1
2,38,1,1
2,39,0,1
2,39,1,1
2,40,0,1
2,40,1,1
2,41,0,1
2,41,1,1
2,42,0,1
2,42,1,1
2,43,0,1
2,43,1,1
2,44,0,1
2,44,1,1
2,45,0,1
2,45,1,1
2,46,0,1
2,46,1,1
2,47,0,1
2,47,1,1
2,48,0,1
2,48,1,1
2,49,0,1
2,49,1,1
2,50,0,1
2,50,1,1
3,0,0,1
3,0,1,1
3,1,0,1
3,1,1,1
3,2,0,1
3,2,1,1
3,3,0,1
3,3,1,1
3,4,0,1
3,4,1,1
3,5,0,1
3,5,1,1
3,6,0,1
3,6,1,1
3,7,0,1
3,7,1,1
3,8,0,1
3,8,1,1
3,9,0,1
3,9,1,1
3,10,0,1
3,10,1,1
3,11,0,1
3,11,1,1
3,12,0,1
3,12,1,1
3,13,0,1
3,13,1,1
3,14,0,1
3,14,1,1
3,15,0,1
3,15,1,1
3,16,0,1
3,16,1,1
3,17,0,1
3,17,1,1
3,18,0,1
3,18,1,1
3,19,0,1
3,19,1,1
3,20,0,1
3,20,1,1
3,21,0,1
3,21,1,1
3,22,0,1
3,22,1,1
3,23,0,1
3,23,1,1
3,24,0,1
3,24,1,1
3,25,0,1
3,25,1,1
3,26,0,1
3,26,1,1
3,27,0,1
3,27,1,1
3,28,0,1
3,28,1,1
3,29,0,1
3,29,1,1
3,30,0,1
3,30,1,1
3,31,0,1
3,31,1,1
3,32,0,1
3,32,1,1
3,33,0,1
3,33,1,1
3,34,0,1
3,34,1,1
3,35,0,1
3,35,1,1
3,36,0,1
3,36,1,1
3,37,0,1
3,37,1,1
3,38,0,1
3,38,1,1
3,39,0,1
3,39,1,1
3,40,0,1
3,40,1,1
3,41,0,1
3,41,1,1
3,42,0,1
3,42,1,1
3,43,0,1
3,43,1,1
3,44,0,1
3,44,1,1
3,45,0,1
3,45,1,1
3,46,0,1
3,46,1,1
3,47,0,1
3,47,1,1
3,48,0,1
3,48,1,1
3,49,0,1
3,49,1,1
3,50,0,1
3,50,1,1
4,0,0,1
4,0,1,1
4,1,0,1
4,1,1,1
4,2,0,1
4,2,1,1
4,3,0,1
4,3,1,1
4,4,0,1
4,4,1,1
4,5,0,1
4,5,1,1
4,6,0,1
4,6,1,1
4,7,0,1
4,7,1,1
4,8,0,1
4,8,1,1
4,9,0,1
4,9,1,1
4,10,0,1
4,10,1,1
4,11,0,1
4,11,1,1
4,12,0,1
4,12,1,1
4,13,0,1
4,13,1,1
4,14,0,1
4,14,1,1
4,15,0,1
4,15,1,1
4,16,0,1
4,16,1,1
4,17,0,1
4,17,1,1
4,18,0,1
4,18,1,1
4,19,0,1
4,19,1,1
4,20,0,1
4,20,1,1
4,21,0,1
4,21,1,1
4,22,0,1
4,22,1,1
4,23,0,1
4,23,1,1
4,24,0,1
4,24,1,1
4,25,0,1
4,25,1,1
4,26,0,1
4,26,1,1
4,27,0,1
4,27,1,1
4,28,0,1
4,28,1,1
4,29,0,1
4,29,1,1
4,30,0,1
4,30,1,1
4,31,0,1
4,31,1,1
4,32,0,1
4,32,1,1
4,33,0,1
4,33,1,1
4,34,0,1
4,34,1,1
4,35,0,1
4,35,1,1
4,36,0,1
4,36,1,1
4,37,0,1
4,37,1,1
4,38,0,1
4,38,1,1
4,39,0,1
4,39,1,1
4,40,0,1
4,40,1,1
4,41,0,1
4,41,1,1
4,42,0,1
4,42,1,1
4,43,0,1
4,43,1,1
4,44,0,1
4,44,1,1
4,45,0,1
4,45,1,1
4,46,0,1
4,46,1,1
4,47,0,1
4,47,1,1
4,48,0,1
4,48,1,1
4,49,0,1
4,49,1,1
4,50,0,1
4,50,1,1
5,0,0,1
5,0,1,1
5,1,0,1
5,1,1,1
5,2,0,1
5,2,1,1
5,3,0,1
5,3,1,1
5,4,0,1
5,4,1,1
5,5,0,1
5,5,1,1
5,6,0,1
5,6,1,1
5,7,0,1
5,7,1,1
5,8,0,1
5,8,1,1
5,9,0,1
5,9,1,1
5,10,0,1
5,10,1,1
5,11,0,1
5,11,1,1
5,12,0,1
5,12,1,1
5,13,0,1
5,13,1,1
5,14,0,1
5,14,1,1
5,15,0,1
5,15,1,1
5,16,0,1
5,16,1,1
5,17,0,1
5,17,1,1
5,18,0,1
5,18,1,1
5,19,0,1
5,19,1,1
5,20,0,1
5,20,1,1
5,21,0,1
5,21,1,1
5,22,0,1
5,22,1,1
5,23,0,1
5,23,1,1
5,24,0,1
5,24,1,1
5,25,0,1
5,25,1,1
5,26,0,1
5,26,1,1
5,27,0,1
5,27,1,1
5,28,0,1
5,28,1,1
5,29,0,1
5,29,1,1
5,30,0,1
5,30,1,1
5,31,0,1
5,31,1,1
5,32,0,1
5,32,1,1
5,33,0,1
5,33,1,1
5,34,0,1
5,34,1,1
5,35,0,1
5,35,1,1
5,36,0,1
5,36,1,1
5,37,0,1
5,37,1,1
5,38,0,1
5,38,1,1
5,39,0,1
5,39,1,1
5,40,0,1
5,40,1,1
5,41,0,1
5,41,1,1
5,42,0,1
5,42,1,1
5,43,0,1
5,43,1,1
5,44,0,1
5,44,1,1
5,45,0,1
5,45,1,1
5,46,0,1
5,46,1,1
5,47,0,1
5,47,1,1
5,48,0,1
5,48,1,1
5,49,0,1
5,49,1,1
5,50,0,1
5,50,1,1
6,0,0,1
6,0,1,1
6,1,0,1
6,1,1,1
6,2,0,1
6,2,1,1
6,3,0,1
6,3,1,1
6,4,0,1
6,4,1,1
6,5,0,1
6,5,1,1
6,6,0,1
6,6,1,1
6,7,0,1
6,7,1,1
6,8,0,1
6,8,1,1
6,9,0,1
6,9,1,1
6,10,0,1
6,10,1,1
6,11,0,1
6,11,1,1
6,12,0,1
6,12,1,1
6,13,0,1
6,13,1,1
6,14,0,1
6,14,1,1
6,15,0,1
6,15,1,1
6,16,0,1
6,16,1,1
6,17,0,1
6,17,1,1
6,18,0,1
6,18,1,1
6,19,0,1
6,19,1,1
6,20,0,1
6,20,1,1
6,21,0,1
6,21,1,1
6,22,0,1
6,22,1,1
6,23,0,1
6,23,1,1
6,24,0,1
6,24,1,1
6,25,0,1
6,25,1,1
6,26,0,1
6,26,1,1
6,27,0,1
6,27,1,1
6,28,0,1
6,28,1,1
6,29,0,1
6,29,1,1
6,30,0,1
6,30,1,1
6,31,0,1
6,31,1,1
6,32,0,1
6,32,1,1
6,33,0,1
6,33,1,1
6,34,0,1
6,34,1,1
6,35,0,1
6,35,1,1
6,36,0,1
6,36,1,1
6,37,0,1
6,37,1,1
6,38,0,1
6,38,1,1
6,39,0,1
6,39,1,1
6,40,0,1
6,40,1,1
6,41,0,1
6,41,1,1
6,42,0,1
6,42,1,1
6,43,0,1
6,43,1,1
6,44,0,1
6,44,1,1
6,45,0,1
6,45,1,1
6,46,0,1
6,46,1,1
6,47,0,1
6,47,1,1
6,48,0,1
6,48,1,1
6,49,0,1
6,49,1,1
6,50,0,1
6,50,1,1
7,0,0,0
7,0,1,0
7,1,0,0
7,1,1,0
7,2,0,0
7,2,1,0
7,3,0,0
7,3,1,0
7,4,0,0
7,4,1,0
7,5,0,0
7,5,1,0
7,6,0,0
7,6,1,0
7,7,0,0
7,7,1,0
7,8,0,0
7,8,1,0
7,9,0,0
7,9,1,0
7,10,0,0
7,10,1,0
7,11,0,0
7,11,1,0
7,12,0,0
7,12,1,0
7,13,0,0
7,13,1,0
7,14,0,0
7,14,1,0
7,15,0,0
7,15,1,0
7,16,0,0
7,16,1,0
7,17,0,0
7,17,1,0
7,18,0,0
7,18,1,0
7,19,0,0
7,19,1,0
7,20,0,0
7,20,1,0
7,21,0,0
7,21,1,0
7,22,0,0
7,22,1,0
7,23,0,0
7,23,1,0
7,24,0,0
7,24,1,0
7,25,0,0
7,25,1,0
7,26,0,0
7,26,1,0
7,27,0,0
7,27,1,0
7,28,0,0
7,28,1,0
7,29,0,0
7,29,1,0
7,30,0,0
7,30,1,0
7,31,0,0
7,31,1,0
7,32,0,0
7,32,1,0
7,33,0,0
7,33,1,0
7,34,0,0
7,34,1,0
7,35,0,0
7,35,1,0
7,36,0,0
7,36,1,0
7,37,0,0
7,37,1,0
7,38,0,0
7,38,1,0
7,39,0,0
7,39,1,0
7,40,0,0
7,40,1,0
7,41,0,0
7,41,1,0
7,42,0,0
7,42,1,0
7,43,0,0
7,43,1,0
7,44,0,0
7,44,1,0
7,45,0,0
7,45,1,0
7,46,0,0
7,46,1,0
7,47,0,0
7,47,1,0
7,48,0,0
7,48,1,0
7,49,0,0
7,49,1,0
7,50,0,0
7,50,1,0
