from_node_id,to_node_id,driving_time_cost,length,time_stamp
0,0,0,0,0
0,1,2,20,0
0,2,4,40,0
0,3,3,30,0
0,4,2,20,0
0,5,0,0,0
1,0,2,20,0
1,1,0,0,0
1,2,3,30,0
1,3,4,40,0
1,4,2,20,0
1,5,2,20,0
2,0,4,40,0
2,1,3,30,0
2,2,0,0,0
2,3,2,20,0
2,4,2,20,0
2,5,4,40,0
3,0,3,30,0
3,1,4,40,0
3,2,2,20,0
3,3,0,0,0
3,4,2,20,0
3,5,3,30,0
4,0,2,20,0
4,1,2,20,0
4,2,2,20,0
4,3,2,20,0
4,4,0,0,0
4,5,2,20,0
5,0,0,0,0
5,1,2,20,0
5,2,4,40,0
5,3,3,30,0
5,4,2,20,0
5,5,0,0,0
0,0,0,0,1
0,1,2,20,1
0,2,4,40,1
0,3,3,30,1
0,4,2,20,1
0,5,0,0,1
1,0,2,20,1
1,1,0,0,1
1,2,3,30,1
1,3,4,40,1
1,4,2,20,1
1,5,2,20,1
2,0,4,40,1
2,1,3,30,1
2,2,0,0,1
2,3,2,20,1
2,4,2,20,1
2,5,4,40,1
3,0,3,30,1
3,1,4,40,1
3,2,2,20,1
3,3,0,0,1
3,4,2,20,1
3,5,3,30,1
4,0,2,20,1
4,1,2,20,1
4,2,2,20,1
4,3,2,20,1
4,4,0,0,1
4,5,2,20,1
5,0,0,0,1
5,1,2,20,1
5,2,4,40,1
5,3,3,30,1
5,4,2,20,1
5,5,0,0,1
0,0,0,0,2
0,1,2,20,2
0,2,4,40,2
0,3,3,30,2
0,4,2,20,2
0,5,0,0,2
1,0,2,20,2
1,1,0,0,2
1,2,3,30,2
1,3,4,40,2
1,4,2,20,2
1,5,2,20,2
2,0,4,40,2
2,1,3,30,2
2,2,0,0,2
2,3,2,20,2
2,4,2,20,2
2,5,4,40,2
3,0,3,30,2
3,1,4,40,2
3,2,2,20,2
3,3,0,0,2
3,4,2,20,2
3,5,3,30,2
4,0,2,20,2
4,1,2,20,2
4,2,2,20,2
4,3,2,20,2
4,4,0,0,2
4,5,2,20,2
5,0,0,0,2
5,1,2,20,2
5,2,4,40,2
5,3,3,30,2
5,4,2,20,2
5,5,0,0,2
0,0,0,0,3
0,1,2,20,3
0,2,4,40,3
0,3,3,30,3
0,4,2,20,3
0,5,0,0,3
1,0,2,20,3
1,1,0,0,3
1,2,3,30,3
1,3,4,40,3
1,4,2,20,3
1,5,2,20,3
