space,time,timeWindow
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,1
0,24,1
0,25,1
0,26,1
0,27,1
0,28,1
0,29,1
0,30,1
0,31,1
0,32,1
0,33,1
0,34,1
0,35,1
0,36,1
0,37,1
0,38,1
0,39,1
0,40,1
0,41,1
0,42,1
0,43,1
0,44,1
0,45,1
0,46,1
0,47,1
0,48,1
0,49,1
0,50,1
1,0,0
1,1,0
1,2,1
1,3,1
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
1,9,0
1,10,0
1,11,0
1,12,0
1,13,0
1,14,0
1,15,0
1,16,0
1,17,0
1,18,0
1,19,0
1,20,0
1,21,0
1,22,0
1,23,0
1,24,0
1,25,0
1,26,0
1,27,0
1,28,0
1,29,0
1,30,0
1,31,0
1,32,0
1,33,0
1,34,0
1,35,0
1,36,0
1,37,0
1,38,0
1,39,0
1,40,0
1,41,0
1,42,0
1,43,0
1,44,0
1,45,0
1,46,0
1,47,0
1,48,0
1,49,0
1,50,0
2,0,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,1
2,6,1
2,7,1
2,8,1
2,9,1
2,10,1
2,11,1
2,12,1
2,13,1
2,14,1
2,15,1
2,16,1
2,17,1
2,18,1
2,19,1
2,20,1
2,21,1
2,22,1
2,23,1
2,24,1
2,25,1
2,26,1
2,27,1
2,28,1
2,29,1
2,30,1
2,31,1
2,32,1
2,33,1
2,34,1
2,35,1
2,36,1
2,37,1
2,38,1
2,39,1
2,40,1
2,41,1
2,42,1
2,43,1
2,44,1
2,45,1
2,46,1
2,47,1
2,48,1
2,49,1
2,50,1
3,0,1
3,1,1
3,2,1
3,3,1
3,4,1
3,5,1
3,6,1
3,7,1
3,8,1
3,9,1
3,10,1
3,11,1
3,12,1
3,13,1
3,14,1
3,15,1
3,16,1
3,17,1
3,18,1
3,19,1
3,20,1
3,21,1
3,22,1
3,23,1
3,24,1
3,25,1
3,26,1
3,27,1
3,28,1
3,29,1
3,30,1
3,31,1
3,32,1
3,33,1
3,34,1
3,35,1
3,36,1
3,37,1
3,38,1
3,39,1
3,40,1
3,41,1
3,42,1
3,43,1
3,44,1
3,45,1
3,46,1
3,47,1
3,48,1
3,49,1
3,50,1
4,0,0
4,1,0
4,2,0
4,3,0
4,4,1
4,5,1
4,6,0
4,7,0
4,8,0
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,0
4,15,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,21,0
4,22,0
4,23,0
4,24,0
4,25,0
4,26,0
4,27,0
4,28,0
4,29,0
4,30,0
4,31,0
4,32,0
4,33,0
4,34,0
4,35,0
4,36,0
4,37,0
4,38,0
4,39,0
4,40,0
4,41,0
4,42,0
4,43,0
4,44,0
4,45,0
4,46,0
4,47,0
4,48,0
4,49,0
4,50,0
5,0,1
5,1,1
5,2,1
5,3,1
5,4,1
5,5,1
5,6,1
5,7,1
5,8,1
5,9,1
5,10,1
5,11,1
5,12,1
5,13,1
5,14,1
5,15,1
5,16,1
5,17,1
5,18,1
5,19,1
5,20,1
5,21,1
5,22,1
5,23,1
5,24,1
5,25,1
5,26,1
5,27,1
5,28,1
5,29,1
5,30,1
5,31,1
5,32,1
5,33,1
5,34,1
5,35,1
5,36,1
5,37,1
5,38,1
5,39,1
5,40,1
5,41,1
5,42,1
5,43,1
5,44,1
5,45,1
5,46,1
5,47,1
5,48,1
5,49,1
5,50,1
