start_space,delivery_space,end_space,start_time,delivery_time,end_time,sorties_cost
5,3,2,7,9,10,3
5,3,4,7,9,10,3
5,3,2,8,10,11,3
5,3,4,8,10,11,3
0,7,1,3,5,6,3
0,7,5,3,5,6,3
0,7,2,3,5,6,3
0,7,4,3,5,6,3
0,7,1,4,6,7,3
0,7,5,4,6,7,3
0,7,2,4,6,7,3
0,7,4,4,6,7,3
5,7,1,4,5,6,2
5,7,5,4,5,6,2
5,7,0,4,5,7,3
5,7,2,4,5,6,2
5,7,4,4,5,6,2
5,7,8,4,5,7,3
5,7,1,4,5,7,3
5,7,5,4,5,7,3
5,7,2,4,5,7,3
5,7,4,4,5,7,3
5,7,1,5,6,7,2
5,7,5,5,6,7,2
5,7,0,5,6,8,3
5,7,2,5,6,7,2
5,7,4,5,6,7,2
5,7,8,5,6,8,3
5,7,1,5,6,8,3
5,7,5,5,6,8,3
5,7,2,5,6,8,3
5,7,4,5,6,8,3
1,3,2,7,9,10,3
1,3,4,7,9,10,3
1,3,2,8,10,11,3
1,3,4,8,10,11,3
1,7,1,4,5,6,2
1,7,5,4,5,6,2
1,7,0,4,5,7,3
1,7,2,4,5,6,2
1,7,4,4,5,6,2
1,7,8,4,5,7,3
1,7,1,4,5,7,3
1,7,5,4,5,7,3
1,7,2,4,5,7,3
1,7,4,4,5,7,3
1,7,1,5,6,7,2
1,7,5,5,6,7,2
1,7,0,5,6,8,3
1,7,2,5,6,7,2
1,7,4,5,6,7,2
1,7,8,5,6,8,3
1,7,1,5,6,8,3
1,7,5,5,6,8,3
1,7,2,5,6,8,3
1,7,4,5,6,8,3
2,6,2,3,4,5,2
2,6,4,3,4,5,2
2,6,1,3,4,5,2
2,6,8,3,4,5,2
2,6,5,3,4,5,2
2,6,0,3,4,5,2
2,6,2,3,4,6,3
2,6,4,3,4,6,3
2,6,1,3,4,6,3
2,6,8,3,4,6,3
2,6,5,3,4,6,3
2,6,0,3,4,6,3
2,6,2,4,5,6,2
