from_node_id,to_node_id,driving_time_cost,length,time_stamp
0,0,0,0,0
0,1,2,20,0
0,2,6,60,0
0,3,5,50,0
0,4,5,50,0
0,5,6,60,0
0,6,2,20,0
0,7,4,40,0
0,8,5,50,0
0,9,0,0,0
1,0,2,20,0
1,1,0,0,0
1,2,4,40,0
1,3,3,30,0
1,4,5,50,0
1,5,5,50,0
1,6,2,20,0
1,7,2,20,0
1,8,3,30,0
1,9,2,20,0
2,0,6,60,0
2,1,4,40,0
2,2,0,0,0
2,3,3,30,0
2,4,5,50,0
2,5,2,20,0
2,6,5,50,0
2,7,3,30,0
2,8,2,20,0
2,9,6,60,0
3,0,5,50,0
3,1,3,30,0
3,2,3,30,0
3,3,0,0,0
3,4,8,80,0
3,5,5,50,0
3,6,5,50,0
3,7,5,50,0
3,8,5,50,0
3,9,5,50,0
4,0,5,50,0
4,1,5,50,0
4,2,5,50,0
4,3,8,80,0
4,4,0,0,0
4,5,3,30,0
4,6,3,30,0
4,7,5,50,0
4,8,5,50,0
4,9,5,50,0
5,0,5,50,0
5,1,5,50,0
5,2,2,20,0
5,3,5,50,0
5,4,3,30,0
5,5,0,0,0
5,6,4,40,0
5,7,3,30,0
5,8,2,20,0
5,9,6,60,0
6,0,2,20,0
6,1,2,20,0
6,2,5,50,0
6,3,5,50,0
6,4,3,30,0
6,5,4,40,0
6,6,0,0,0
6,7,2,20,0
6,8,3,30,0
6,9,2,20,0
7,0,4,40,0
7,1,2,20,0
7,2,3,30,0
7,3,5,50,0
7,4,5,50,0
7,5,3,30,0
7,6,2,20,0
7,7,0,0,0
7,8,1,10,0
7,9,4,40,0
8,0,5,50,0
8,1,3,30,0
8,2,2,20,0
8,3,5,50,0
8,4,5,50,0
8,5,2,20,0
8,6,3,30,0
8,7,1,10,0
8,8,0,0,0
8,9,5,50,0
9,0,0,0,0
9,1,2,20,0
9,2,6,60,0
9,3,5,50,0
9,4,5,50,0
9,5,6,60,0
9,6,2,20,0
9,7,4,40,0
9,8,5,50,0
9,9,0,0,0
0,0,0,0,1
0,1,2,20,1
0,2,6,60,1
0,3,5,50,1
0,4,5,50,1
0,5,6,60,1
0,6,2,20,1
0,7,4,40,1
0,8,5,50,1
0,9,0,0,1
1,0,2,20,1
1,1,0,0,1
1,2,4,40,1
1,3,3,30,1
1,4,5,50,1
1,5,5,50,1
1,6,2,20,1
1,7,2,20,1
1,8,3,30,1
1,9,2,20,1
