from_space,to_space,from_time,to_time,from_state,to_state,cost,arc_type
0,1,0,1,1,1,1,0
0,1,1,2,1,1,1,0
0,1,2,3,1,1,1,0
0,1,3,4,1,1,1,0
0,1,4,5,1,1,1,0
0,1,5,6,1,1,1,0
0,1,6,7,1,1,1,0
0,1,7,8,1,1,1,0
0,1,8,9,1,1,1,0
0,1,9,10,1,1,1,0
0,1,10,11,1,1,1,0
0,1,11,12,1,1,1,0
0,1,12,13,1,1,1,0
0,1,13,14,1,1,1,0
0,1,14,15,1,1,1,0
0,1,15,16,1,1,1,0
0,1,16,17,1,1,1,0
0,1,17,18,1,1,1,0
0,1,18,19,1,1,1,0
0,1,19,20,1,1,1,0
0,1,20,21,1,1,1,0
0,1,21,22,1,1,1,0
0,1,22,23,1,1,1,0
0,1,23,24,1,1,1,0
0,1,24,25,1,1,1,0
0,1,25,26,1,1,1,0
0,1,26,27,1,1,1,0
0,1,27,28,1,1,1,0
0,1,28,29,1,1,1,0
0,1,29,30,1,1,1,0
0,1,30,31,1,1,1,0
0,1,31,32,1,1,1,0
0,1,32,33,1,1,1,0
0,1,33,34,1,1,1,0
0,1,34,35,1,1,1,0
0,1,35,36,1,1,1,0
0,1,36,37,1,1,1,0
0,1,37,38,1,1,1,0
0,1,38,39,1,1,1,0
0,1,39,40,1,1,1,0
0,1,40,41,1,1,1,0
0,1,41,42,1,1,1,0
0,1,42,43,1,1,1,0
0,1,43,44,1,1,1,0
0,1,44,45,1,1,1,0
0,1,45,46,1,1,1,0
0,1,46,47,1,1,1,0
0,1,47,48,1,1,1,0
0,1,48,49,1,1,1,0
0,1,49,50,1,1,1,0
1,2,0,1,1,1,1,0
1,2,1,2,1,1,1,0
1,2,2,3,1,1,1,0
1,2,3,4,1,1,1,0
1,2,4,5,1,1,1,0
1,2,5,6,1,1,1,0
1,2,6,7,1,1,1,0
1,2,7,8,1,1,1,0
1,2,8,9,1,1,1,0
1,2,9,10,1,1,1,0
1,2,10,11,1,1,1,0
1,2,11,12,1,1,1,0
1,2,12,13,1,1,1,0
1,2,13,14,1,1,1,0
1,2,14,15,1,1,1,0
1,2,15,16,1,1,1,0
1,2,16,17,1,1,1,0
1,2,17,18,1,1,1,0
1,2,18,19,1,1,1,0
1,2,19,20,1,1,1,0
1,2,20,21,1,1,1,0
1,2,21,22,1,1,1,0
1,2,22,23,1,1,1,0
1,2,23,24,1,1,1,0
1,2,24,25,1,1,1,0
1,2,25,26,1,1,1,0
1,2,26,27,1,1,1,0
1,2,27,28,1,1,1,0
1,2,28,29,1,1,1,0
1,2,29,30,1,1,1,0
1,2,30,31,1,1,1,0
1,2,31,32,1,1,1,0
1,2,32,33,1,1,1,0
1,2,33,34,1,1,1,0
1,2,34,35,1,1,1,0
1,2,35,36,1,1,1,0
1,2,36,37,1,1,1,0
1,2,37,38,1,1,1,0
1,2,38,39,1,1,1,0
1,2,39,40,1,1,1,0
1,2,40,41,1,1,1,0
1,2,41,42,1,1,1,0
1,2,42,43,1,1,1,0
1,2,43,44,1,1,1,0
1,2,44,45,1,1,1,0
1,2,45,46,1,1,1,0
1,2,46,47,1,1,1,0
1,2,47,48,1,1,1,0
1,2,48,49,1,1,1,0
1,2,49,50,1,1,1,0
2,1,0,1,1,1,1,0
2,1,1,2,1,1,1,0
2,1,2,3,1,1,1,0
2,1,3,4,1,1,1,0
2,1,4,5,1,1,1,0
2,1,5,6,1,1,1,0
2,1,6,7,1,1,1,0
2,1,7,8,1,1,1,0
2,1,8,9,1,1,1,0
2,1,9,10,1,1,1,0
2,1,10,11,1,1,1,0
2,1,11,12,1,1,1,0
2,1,12,13,1,1,1,0
2,1,13,14,1,1,1,0
2,1,14,15,1,1,1,0
2,1,15,16,1,1,1,0
2,1,16,17,1,1,1,0
2,1,17,18,1,1,1,0
2,1,18,19,1,1,1,0
2,1,19,20,1,1,1,0
2,1,20,21,1,1,1,0
2,1,21,22,1,1,1,0
2,1,22,23,1,1,1,0
2,1,23,24,1,1,1,0
2,1,24,25,1,1,1,0
2,1,25,26,1,1,1,0
2,1,26,27,1,1,1,0
2,1,27,28,1,1,1,0
2,1,28,29,1,1,1,0
2,1,29,30,1,1,1,0
2,1,30,31,1,1,1,0
2,1,31,32,1,1,1,0
2,1,32,33,1,1,1,0
2,1,33,34,1,1,1,0
2,1,34,35,1,1,1,0
2,1,35,36,1,1,1,0
2,1,36,37,1,1,1,0
2,1,37,38,1,1,1,0
2,1,38,39,1,1,1,0
2,1,39,40,1,1,1,0
2,1,40,41,1,1,1,0
2,1,41,42,1,1,1,0
2,1,42,43,1,1,1,0
2,1,43,44,1,1,1,0
2,1,44,45,1,1,1,0
2,1,45,46,1,1,1,0
2,1,46,47,1,1,1,0
2,1,47,48,1,1,1,0
2,1,48,49,1,1,1,0
2,1,49,50,1,1,1,0
2,0,0,1,1,1,1,0
2,0,1,2,1,1,1,0
2,0,2,3,1,1,1,0
2,0,3,4,1,1,1,0
2,0,4,5,1,1,1,0
2,0,5,6,1,1,1,0
2,0,6,7,1,1,1,0
2,0,7,8,1,1,1,0
2,0,8,9,1,1,1,0
2,0,9,10,1,1,1,0
2,0,10,11,1,1,1,0
2,0,11,12,1,1,1,0
2,0,12,13,1,1,1,0
2,0,13,14,1,1,1,0
2,0,14,15,1,1,1,0
2,0,15,16,1,1,1,0
2,0,16,17,1,1,1,0
2,0,17,18,1,1,1,0
2,0,18,19,1,1,1,0
2,0,19,20,1,1,1,0
2,0,20,21,1,1,1,0
2,0,21,22,1,1,1,0
2,0,22,23,1,1,1,0
2,0,23,24,1,1,1,0
2,0,24,25,1,1,1,0
2,0,25,26,1,1,1,0
2,0,26,27,1,1,1,0
2,0,27,28,1,1,1,0
2,0,28,29,1,1,1,0
2,0,29,30,1,1,1,0
2,0,30,31,1,1,1,0
2,0,31,32,1,1,1,0
2,0,32,33,1,1,1,0
2,0,33,34,1,1,1,0
2,0,34,35,1,1,1,0
2,0,35,36,1,1,1,0
2,0,36,37,1,1,1,0
2,0,37,38,1,1,1,0
2,0,38,39,1,1,1,0
2,0,39,40,1,1,1,0
2,0,40,41,1,1,1,0
2,0,41,42,1,1,1,0
2,0,42,43,1,1,1,0
2,0,43,44,1,1,1,0
2,0,44,45,1,1,1,0
2,0,45,46,1,1,1,0
2,0,46,47,1,1,1,0
2,0,47,48,1,1,1,0
2,0,48,49,1,1,1,0
2,0,49,50,1,1,1,0
2,3,0,1,1,1,1,0
2,3,1,2,1,1,1,0
2,3,2,3,1,1,1,0
2,3,3,4,1,1,1,0
2,3,4,5,1,1,1,0
2,3,5,6,1,1,1,0
2,3,6,7,1,1,1,0
2,3,7,8,1,1,1,0
2,3,8,9,1,1,1,0
2,3,9,10,1,1,1,0
2,3,10,11,1,1,1,0
2,3,11,12,1,1,1,0
2,3,12,13,1,1,1,0
2,3,13,14,1,1,1,0
2,3,14,15,1,1,1,0
2,3,15,16,1,1,1,0
2,3,16,17,1,1,1,0
2,3,17,18,1,1,1,0
2,3,18,19,1,1,1,0
2,3,19,20,1,1,1,0
2,3,20,21,1,1,1,0
2,3,21,22,1,1,1,0
2,3,22,23,1,1,1,0
2,3,23,24,1,1,1,0
2,3,24,25,1,1,1,0
2,3,25,26,1,1,1,0
2,3,26,27,1,1,1,0
2,3,27,28,1,1,1,0
2,3,28,29,1,1,1,0
2,3,29,30,1,1,1,0
2,3,30,31,1,1,1,0
2,3,31,32,1,1,1,0
2,3,32,33,1,1,1,0
2,3,33,34,1,1,1,0
2,3,34,35,1,1,1,0
2,3,35,36,1,1,1,0
2,3,36,37,1,1,1,0
2,3,37,38,1,1,1,0
2,3,38,39,1,1,1,0
2,3,39,40,1,1,1,0
2,3,40,41,1,1,1,0
2,3,41,42,1,1,1,0
2,3,42,43,1,1,1,0
2,3,43,44,1,1,1,0
2,3,44,45,1,1,1,0
2,3,45,46,1,1,1,0
2,3,46,47,1,1,1,0
2,3,47,48,1,1,1,0
2,3,48,49,1,1,1,0
2,3,49,50,1,1,1,0
0,2,0,1,1,1,1,0
0,2,1,2,1,1,1,0
0,2,2,3,1,1,1,0
0,2,3,4,1,1,1,0
0,2,4,5,1,1,1,0
0,2,5,6,1,1,1,0
0,2,6,7,1,1,1,0
0,2,7,8,1,1,1,0
0,2,8,9,1,1,1,0
0,2,9,10,1,1,1,0
0,2,10,11,1,1,1,0
0,2,11,12,1,1,1,0
0,2,12,13,1,1,1,0
0,2,13,14,1,1,1,0
0,2,14,15,1,1,1,0
0,2,15,16,1,1,1,0
0,2,16,17,1,1,1,0
0,2,17,18,1,1,1,0
0,2,18,19,1,1,1,0
0,2,19,20,1,1,1,0
0,2,20,21,1,1,1,0
0,2,21,22,1,1,1,0
0,2,22,23,1,1,1,0
0,2,23,24,1,1,1,0
0,2,24,25,1,1,1,0
0,2,25,26,1,1,1,0
0,2,26,27,1,1,1,0
0,2,27,28,1,1,1,0
0,2,28,29,1,1,1,0
0,2,29,30,1,1,1,0
0,2,30,31,1,1,1,0
0,2,31,32,1,1,1,0
0,2,32,33,1,1,1,0
0,2,33,34,1,1,1,0
0,2,34,35,1,1,1,0
0,2,35,36,1,1,1,0
0,2,36,37,1,1,1,0
0,2,37,38,1,1,1,0
0,2,38,39,1,1,1,0
0,2,39,40,1,1,1,0
0,2,40,41,1,1,1,0
0,2,41,42,1,1,1,0
0,2,42,43,1,1,1,0
0,2,43,44,1,1,1,0
0,2,44,45,1,1,1,0
0,2,45,46,1,1,1,0
0,2,46,47,1,1,1,0
0,2,47,48,1,1,1,0
0,2,48,49,1,1,1,0
0,2,49,50,1,1,1,0
1,0,0,1,1,1,1,0
1,0,1,2,1,1,1,0
1,0,2,3,1,1,1,0
1,0,3,4,1,1,1,0
1,0,4,5,1,1,1,0
1,0,5,6,1,1,1,0
1,0,6,7,1,1,1,0
1,0,7,8,1,1,1,0
1,0,8,9,1,1,1,0
1,0,9,10,1,1,1,0
1,0,10,11,1,1,1,0
1,0,11,12,1,1,1,0
1,0,12,13,1,1,1,0
1,0,13,14,1,1,1,0
1,0,14,15,1,1,1,0
1,0,15,16,1,1,1,0
1,0,16,17,1,1,1,0
1,0,17,18,1,1,1,0
1,0,18,19,1,1,1,0
1,0,19,20,1,1,1,0
1,0,20,21,1,1,1,0
1,0,21,22,1,1,1,0
1,0,22,23,1,1,1,0
1,0,23,24,1,1,1,0
1,0,24,25,1,1,1,0
1,0,25,26,1,1,1,0
1,0,26,27,1,1,1,0
1,0,27,28,1,1,1,0
1,0,28,29,1,1,1,0
1,0,29,30,1,1,1,0
1,0,30,31,1,1,1,0
1,0,31,32,1,1,1,0
1,0,32,33,1,1,1,0
1,0,33,34,1,1,1,0
1,0,34,35,1,1,1,0
1,0,35,36,1,1,1,0
1,0,36,37,1,1,1,0
1,0,37,38,1,1,1,0
