start_space,delivery_space,end_space,start_time,delivery_time,end_time,sorties_cost
4,3,4,9,10,11,2
4,3,7,9,10,12,3
4,3,0,9,10,12,3
4,3,4,9,10,12,3
4,3,4,10,11,12,2
4,3,7,10,11,13,3
4,3,0,10,11,13,3
4,3,4,10,11,13,3
4,6,4,4,5,6,2
4,6,7,4,5,6,2
4,6,0,4,5,6,2
4,6,4,4,5,7,3
4,6,7,4,5,7,3
4,6,0,4,5,7,3
4,6,4,5,6,7,2
4,6,7,5,6,7,2
4,6,0,5,6,7,2
4,6,4,5,6,8,3
4,6,7,5,6,8,3
4,6,0,5,6,8,3
0,2,4,10,12,13,3
0,2,4,11,13,14,3
0,5,4,1,2,4,3
0,5,7,1,2,3,2
0,5,0,1,2,3,2
0,5,7,1,2,4,3
0,5,0,1,2,4,3
0,5,4,2,3,5,3
0,5,7,2,3,4,2
0,5,0,2,3,4,2
0,5,7,2,3,5,3
0,5,0,2,3,5,3
4,2,4,11,12,13,2
4,2,7,11,12,14,3
4,2,0,11,12,14,3
4,2,4,11,12,14,3
4,2,4,12,13,14,2
4,2,7,12,13,15,3
4,2,0,12,13,15,3
4,2,4,12,13,15,3
4,5,7,1,3,4,3
4,5,0,1,3,4,3
0,1,0,15,16,17,2
0,1,4,15,16,18,3
0,1,7,15,16,17,2
0,1,0,15,16,18,3
0,1,7,15,16,18,3
0,1,0,16,17,18,2
0,1,4,16,17,19,3
0,1,7,16,17,18,2
0,1,0,16,17,19,3
0,1,7,16,17,19,3
4,1,0,14,16,17,3
4,1,7,14,16,17,3
4,1,0,15,17,18,3
4,1,7,15,17,18,3
0,3,4,8,10,11,3
0,3,4,9,11,12,3
0,6,4,4,5,6,2
0,6,7,4,5,6,2
0,6,0,4,5,6,2
0,6,4,4,5,7,3
0,6,7,4,5,7,3
0,6,0,4,5,7,3
0,6,4,5,6,7,2
0,6,7,5,6,7,2
0,6,0,5,6,7,2
0,6,4,5,6,8,3
0,6,7,5,6,8,3
0,6,0,5,6,8,3
4,3,4,8,10,11,3
4,3,4,9,11,12,3
4,6,4,3,5,6,3
4,6,7,3,5,6,3
4,6,0,3,5,6,3
4,6,4,4,6,7,3
4,6,7,4,6,7,3
4,6,0,4,6,7,3
0,5,7,1,3,4,3
0,5,0,1,3,4,3
4,2,4,10,12,13,3
4,2,4,11,13,14,3
0,1,0,14,16,17,3
0,1,7,14,16,17,3
0,1,0,15,17,18,3
0,1,7,15,17,18,3
0,6,4,3,5,6,3
0,6,7,3,5,6,3
0,6,0,3,5,6,3
0,6,4,4,6,7,3
0,6,7,4,6,7,3
0,6,0,4,6,7,3
