from_node_id,to_node_id,driving_time_cost,length,time_stamp
0,0,0,0,0
0,1,2,20,0
0,2,5,50,0
0,3,3,30,0
0,4,0,0,0
1,0,2,20,0
1,1,0,0,0
1,2,3,30,0
1,3,5,50,0
1,4,2,20,0
2,0,5,50,0
2,1,3,30,0
2,2,0,0,0
2,3,2,20,0
2,4,5,50,0
3,0,3,30,0
3,1,5,50,0
3,2,2,20,0
3,3,0,0,0
3,4,3,30,0
4,0,0,0,0
4,1,2,20,0
4,2,5,50,0
4,3,3,30,0
4,4,0,0,0
0,0,0,0,1
0,1,2,20,1
0,2,5,50,1
0,3,3,30,1
0,4,0,0,1
1,0,2,20,1
1,1,0,0,1
1,2,3,30,1
1,3,5,50,1
1,4,2,20,1
2,0,5,50,1
2,1,3,30,1
2,2,0,0,1
2,3,2,20,1
2,4,5,50,1
3,0,3,30,1
3,1,5,50,1
3,2,2,20,1
3,3,0,0,1
3,4,3,30,1
4,0,0,0,1
4,1,2,20,1
4,2,5,50,1
4,3,3,30,1
4,4,0,0,1
0,0,0,0,2
0,1,2,20,2
0,2,5,50,2
0,3,3,30,2
0,4,0,0,2
1,0,2,20,2
1,1,0,0,2
1,2,3,30,2
1,3,5,50,2
1,4,2,20,2
2,0,5,50,2
2,1,3,30,2
2,2,0,0,2
2,3,2,20,2
2,4,5,50,2
3,0,3,30,2
3,1,5,50,2
3,2,2,20,2
3,3,0,0,2
3,4,3,30,2
4,0,0,0,2
4,1,2,20,2
4,2,5,50,2
4,3,3,30,2
4,4,0,0,2
0,0,0,0,3
0,1,2,20,3
0,2,5,50,3
0,3,3,30,3
0,4,0,0,3
1,0,2,20,3
1,1,0,0,3
1,2,3,30,3
1,3,5,50,3
1,4,2,20,3
2,0,5,50,3
2,1,3,30,3
2,2,0,0,3
2,3,2,20,3
2,4,5,50,3
3,0,3,30,3
3,1,5,50,3
3,2,2,20,3
3,3,0,0,3
3,4,3,30,3
4,0,0,0,3
4,1,2,20,3
4,2,5,50,3
4,3,3,30,3
4,4,0,0,3
0,0,0,0,4
0,1,2,20,4
0,2,5,50,4
0,3,3,30,4
0,4,0,0,4
1,0,2,20,4
1,1,0,0,4
1,2,3,30,4
1,3,5,50,4
1,4,2,20,4
2,0,5,50,4
2,1,3,30,4
2,2,0,0,4
2,3,2,20,4
2,4,5,50,4
3,0,3,30,4
3,1,5,50,4
3,2,2,20,4
3,3,0,0,4
3,4,3,30,4
