from_space,to_space,from_time,to_time,from_state,to_state,cost,arc_type
4,0,0,6,0,0,6,0
4,0,1,7,0,0,6,0
4,0,2,8,0,0,6,0
4,0,3,9,0,0,6,0
4,0,4,10,0,0,6,0
4,0,5,11,0,0,6,0
4,0,6,13,0,0,7,0
4,0,7,14,0,0,7,0
4,0,8,16,0,0,8,0
4,0,9,18,0,0,9,0
4,0,10,20,0,0,10,0
4,0,11,21,0,0,10,0
4,0,12,22,0,0,10,0
4,0,13,23,0,0,10,0
4,0,14,24,0,0,10,0
4,0,15,25,0,0,10,0
4,0,16,26,0,0,10,0
4,0,17,26,0,0,9,0
4,0,18,27,0,0,9,0
4,0,19,27,0,0,8,0
4,0,20,28,0,0,8,0
4,0,21,28,0,0,7,0
4,0,22,29,0,0,7,0
4,0,23,30,0,0,7,0
4,0,24,30,0,0,6,0
4,0,25,31,0,0,6,0
4,0,26,33,0,0,7,0
4,0,27,34,0,0,7,0
4,0,28,36,0,0,8,0
4,0,29,38,0,0,9,0
4,0,30,40,0,0,10,0
4,0,31,41,0,0,10,0
4,0,32,42,0,0,10,0
4,0,33,43,0,0,10,0
4,0,34,44,0,0,10,0
4,0,35,45,0,0,10,0
4,0,36,46,0,0,10,0
4,0,37,46,0,0,9,0
4,0,38,47,0,0,9,0
4,0,39,47,0,0,8,0
4,0,40,48,0,0,8,0
4,0,41,48,0,0,7,0
4,0,42,49,0,0,7,0
4,0,43,50,0,0,7,0
4,0,44,50,0,0,6,0
3,4,0,2,0,0,2,0
3,4,1,3,0,0,2,0
3,4,2,4,0,0,2,0
3,4,3,5,0,0,2,0
3,4,4,6,0,0,2,0
3,4,5,7,0,0,2,0
3,4,6,8,0,0,2,0
3,4,7,9,0,0,2,0
3,4,8,10,0,0,2,0
3,4,9,11,0,0,2,0
3,4,10,13,0,0,3,0
3,4,11,14,0,0,3,0
3,4,12,15,0,0,3,0
3,4,13,16,0,0,3,0
3,4,14,18,0,0,4,0
3,4,15,19,0,0,4,0
3,4,16,20,0,0,4,0
3,4,17,21,0,0,4,0
3,4,18,21,0,0,3,0
3,4,19,22,0,0,3,0
3,4,20,23,0,0,3,0
3,4,21,24,0,0,3,0
3,4,22,25,0,0,3,0
3,4,23,26,0,0,3,0
3,4,24,26,0,0,2,0
3,4,25,27,0,0,2,0
3,4,26,28,0,0,2,0
3,4,27,29,0,0,2,0
3,4,28,30,0,0,2,0
3,4,29,31,0,0,2,0
3,4,30,33,0,0,3,0
3,4,31,34,0,0,3,0
3,4,32,35,0,0,3,0
3,4,33,36,0,0,3,0
3,4,34,38,0,0,4,0
3,4,35,39,0,0,4,0
3,4,36,40,0,0,4,0
3,4,37,41,0,0,4,0
3,4,38,41,0,0,3,0
3,4,39,42,0,0,3,0
3,4,40,43,0,0,3,0
3,4,41,44,0,0,3,0
3,4,42,45,0,0,3,0
3,4,43,46,0,0,3,0
3,4,44,46,0,0,2,0
3,4,45,47,0,0,2,0
3,4,46,48,0,0,2,0
3,4,47,49,0,0,2,0
3,4,48,50,0,0,2,0
4,3,0,2,0,0,2,0
4,3,1,3,0,0,2,0
4,3,2,4,0,0,2,0
4,3,3,5,0,0,2,0
4,3,4,6,0,0,2,0
4,3,5,7,0,0,2,0
4,3,6,8,0,0,2,0
4,3,7,9,0,0,2,0
4,3,8,10,0,0,2,0
4,3,9,11,0,0,2,0
4,3,10,13,0,0,3,0
4,3,11,14,0,0,3,0
4,3,12,15,0,0,3,0
4,3,13,16,0,0,3,0
4,3,14,18,0,0,4,0
4,3,15,19,0,0,4,0
4,3,16,20,0,0,4,0
4,3,17,21,0,0,4,0
4,3,18,21,0,0,3,0
4,3,19,22,0,0,3,0
4,3,20,23,0,0,3,0
4,3,21,24,0,0,3,0
4,3,22,25,0,0,3,0
4,3,23,26,0,0,3,0
4,3,24,26,0,0,2,0
4,3,25,27,0,0,2,0
4,3,26,28,0,0,2,0
4,3,27,29,0,0,2,0
4,3,28,30,0,0,2,0
4,3,29,31,0,0,2,0
4,3,30,33,0,0,3,0
4,3,31,34,0,0,3,0
4,3,32,35,0,0,3,0
4,3,33,36,0,0,3,0
4,3,34,38,0,0,4,0
4,3,35,39,0,0,4,0
4,3,36,40,0,0,4,0
4,3,37,41,0,0,4,0
4,3,38,41,0,0,3,0
4,3,39,42,0,0,3,0
4,3,40,43,0,0,3,0
4,3,41,44,0,0,3,0
4,3,42,45,0,0,3,0
4,3,43,46,0,0,3,0
4,3,44,46,0,0,2,0
4,3,45,47,0,0,2,0
4,3,46,48,0,0,2,0
4,3,47,49,0,0,2,0
4,3,48,50,0,0,2,0
3,1,0,6,0,0,6,0
3,1,1,7,0,0,6,0
3,1,2,8,0,0,6,0
3,1,3,9,0,0,6,0
3,1,4,10,0,0,6,0
3,1,5,11,0,0,6,0
3,1,6,13,0,0,7,0
3,1,7,14,0,0,7,0
3,1,8,16,0,0,8,0
3,1,9,18,0,0,9,0
3,1,10,20,0,0,10,0
3,1,11,21,0,0,10,0
3,1,12,22,0,0,10,0
3,1,13,23,0,0,10,0
3,1,14,24,0,0,10,0
3,1,15,25,0,0,10,0
3,1,16,26,0,0,10,0
3,1,17,26,0,0,9,0
3,1,18,27,0,0,9,0
3,1,19,27,0,0,8,0
3,1,20,28,0,0,8,0
3,1,21,28,0,0,7,0
3,1,22,29,0,0,7,0
3,1,23,30,0,0,7,0
3,1,24,30,0,0,6,0
3,1,25,31,0,0,6,0
3,1,26,33,0,0,7,0
3,1,27,34,0,0,7,0
3,1,28,36,0,0,8,0
3,1,29,38,0,0,9,0
3,1,30,40,0,0,10,0
3,1,31,41,0,0,10,0
3,1,32,42,0,0,10,0
3,1,33,43,0,0,10,0
3,1,34,44,0,0,10,0
3,1,35,45,0,0,10,0
3,1,36,46,0,0,10,0
3,1,37,46,0,0,9,0
3,1,38,47,0,0,9,0
3,1,39,47,0,0,8,0
3,1,40,48,0,0,8,0
3,1,41,48,0,0,7,0
3,1,42,49,0,0,7,0
3,1,43,50,0,0,7,0
3,1,44,50,0,0,6,0
3,7,0,8,0,0,8,0
3,7,1,9,0,0,8,0
3,7,2,10,0,0,8,0
3,7,3,11,0,0,8,0
3,7,4,13,0,0,9,0
3,7,5,14,0,0,9,0
3,7,6,16,0,0,10,0
3,7,7,18,0,0,11,0
3,7,8,20,0,0,12,0
3,7,9,21,0,0,12,0
3,7,10,23,0,0,13,0
3,7,11,24,0,0,13,0
3,7,12,25,0,0,13,0
3,7,13,26,0,0,13,0
3,7,14,26,0,0,12,0
3,7,15,27,0,0,12,0
3,7,16,28,0,0,12,0
3,7,17,28,0,0,11,0
3,7,18,29,0,0,11,0
3,7,19,29,0,0,10,0
3,7,20,30,0,0,10,0
3,7,21,30,0,0,9,0
3,7,22,31,0,0,9,0
3,7,23,32,0,0,9,0
3,7,24,33,0,0,9,0
3,7,25,34,0,0,9,0
3,7,26,36,0,0,10,0
3,7,27,38,0,0,11,0
3,7,28,40,0,0,12,0
3,7,29,41,0,0,12,0
3,7,30,43,0,0,13,0
